,Open,High,Low,Close,Volume
2026-08-25 19:00:00+00:00,8463.5,8473.0,8458.5,8471.5,596
2026-08-26 06:00:00+00:00,8470.5,8490.5,8469.5,8483.0,907
2026-08-26 07:00:00+00:00,8482.0,8504.0,8479.5,8502.5,5022
2026-08-26 08:00:00+00:00,8502.0,8503.0,8486.5,8490.5,3161
2026-08-26 09:00:00+00:00,8491.0,8499.0,8487.0,8492.0,1701
2026-08-26 10:00:00+00:00,8492.0,8497.5,8486.5,8487.5,1127
2026-08-26 11:00:00+00:00,8487.5,8506.0,8484.5,8503.5,1329
2026-08-26 12:00:00+00:00,8503.0,8521.0,8503.0,8509.5,3013
2026-08-26 13:00:00+00:00,8510.0,8519.0,8503.5,8510.0,3675
2026-08-26 14:00:00+00:00,8510.0,8515.0,8497.5,8498.0,2961
2026-08-26 15:00:00+00:00,8498.0,8504.0,8476.5,8480.0,3656
2026-08-26 16:00:00+00:00,8480.5,8480.5,8470.5,8476.0,629
2026-08-26 17:00:00+00:00,8476.5,8480.5,8475.5,8475.5,299
2026-08-26 18:00:00+00:00,8476.0,8476.0,8467.0,8469.5,576
2026-08-26 19:00:00+00:00,8470.0,8477.5,8470.0,8472.0,528
2026-08-27 06:00:00+00:00,8494.0,8495.0,8476.5,8483.0,1027
2026-08-27 07:00:00+00:00,8484.0,8484.0,8437.5,8448.5,4475
2026-08-27 08:00:00+00:00,8448.5,8455.0,8392.5,8396.0,4565
2026-08-27 09:00:00+00:00,8395.5,8413.5,8389.0,8394.5,2334
2026-08-27 10:00:00+00:00,8394.0,8395.0,8374.0,8385.0,2648
2026-08-27 11:00:00+00:00,8384.5,8402.0,8378.0,8399.0,2043
2026-08-27 12:00:00+00:00,8399.0,8399.0,8364.5,8365.5,1935
2026-08-27 13:00:00+00:00,8365.5,8367.5,8337.0,8339.5,5163
2026-08-27 14:00:00+00:00,8339.5,8343.5,8326.5,8337.5,4794
2026-08-27 15:00:00+00:00,8337.5,8342.0,8320.0,8341.0,7407
2026-08-27 16:00:00+00:00,8341.0,8343.0,8334.0,8341.5,634
2026-08-27 17:00:00+00:00,8342.0,8343.0,8338.0,8338.5,517
2026-08-27 18:00:00+00:00,8338.5,8349.0,8336.5,8348.0,700
2026-08-27 19:00:00+00:00,8348.0,8352.0,8340.5,8351.0,821
2026-08-28 06:00:00+00:00,8352.0,8390.0,8348.5,8390.0,1518
2026-08-28 07:00:00+00:00,8390.0,8430.5,8389.5,8410.0,9210
2026-08-28 08:00:00+00:00,8409.5,8428.5,8408.0,8421.5,3384
2026-08-28 09:00:00+00:00,8422.0,8427.5,8412.0,8419.0,2338
2026-08-28 10:00:00+00:00,8419.5,8421.0,8404.0,8404.5,2050
2026-08-28 11:00:00+00:00,8404.5,8419.0,8404.5,8413.5,1872
2026-08-28 12:00:00+00:00,8414.0,8424.0,8413.0,8421.0,2081
2026-08-28 13:00:00+00:00,8420.5,8429.5,8410.0,8410.0,3361
2026-08-28 14:00:00+00:00,8411.5,8437.0,8409.5,8432.0,4233
2026-08-28 15:00:00+00:00,8432.0,8436.0,8410.5,8412.5,7858
2026-08-28 16:00:00+00:00,8412.0,8419.0,8406.0,8415.5,1065
2026-08-28 17:00:00+00:00,8415.0,8419.0,8409.5,8417.0,534
2026-08-28 18:00:00+00:00,8416.5,8420.0,8411.0,8414.0,470
2026-08-28 19:00:00+00:00,8414.5,8419.0,8412.5,8414.5,527
2026-08-31 06:00:00+00:00,8422.0,8437.0,8402.0,8433.0,1001
2026-08-31 07:00:00+00:00,8432.5,8441.0,8416.0,8424.0,5062
2026-08-31 08:00:00+00:00,8424.0,8431.0,8415.5,8424.5,2643
2026-08-31 09:00:00+00:00,8423.5,8424.0,8411.0,8413.0,1633
2026-08-31 10:00:00+00:00,8413.0,8416.5,8401.0,8413.5,1539
2026-08-31 11:00:00+00:00,8414.0,8430.5,8414.0,8429.5,1422
2026-08-31 12:00:00+00:00,8429.5,8435.0,8415.0,8417.5,2366
2026-08-31 13:00:00+00:00,8417.0,8431.0,8390.5,8406.0,2576
2026-08-31 14:00:00+00:00,8406.5,8410.0,8368.5,8372.0,3083
2026-08-31 15:00:00+00:00,8371.5,8379.0,8339.0,8339.0,10388
2026-08-31 16:00:00+00:00,8339.5,8341.0,8329.5,8330.5,1169
2026-08-31 17:00:00+00:00,8329.5,8331.5,8319.5,8330.5,646
2026-08-31 18:00:00+00:00,8331.0,8333.5,8321.5,8327.0,720
2026-08-31 19:00:00+00:00,8327.0,8347.0,8324.0,8344.0,1074
2026-09-01 06:00:00+00:00,8361.0,8365.0,8352.5,8361.0,1738
2026-09-01 07:00:00+00:00,8361.0,8387.0,8351.5,8380.5,9099
2026-09-01 08:00:00+00:00,8381.0,8385.5,8312.5,8315.0,4080
2026-09-01 09:00:00+00:00,8315.0,8323.5,8302.0,8308.0,3330
2026-09-01 10:00:00+00:00,8309.0,8333.0,8307.0,8315.0,2590
2026-09-01 11:00:00+00:00,8315.0,8334.0,8309.5,8325.0,1845
2026-09-01 12:00:00+00:00,8325.0,8341.5,8321.0,8336.0,2026
2026-09-01 13:00:00+00:00,8337.0,8338.5,8312.0,8323.5,4147
2026-09-01 14:00:00+00:00,8321.0,8323.5,8290.5,8294.5,6146
2026-09-01 15:00:00+00:00,8294.5,8325.5,8294.0,8322.5,8998
2026-09-01 16:00:00+00:00,8322.5,8325.0,8298.0,8306.5,1127
2026-09-01 17:00:00+00:00,8306.0,8307.0,8295.5,8301.5,682
2026-09-01 18:00:00+00:00,8301.0,8302.5,8279.0,8288.5,689
2026-09-01 19:00:00+00:00,8288.5,8299.0,8288.0,8292.5,659
2026-09-02 06:00:00+00:00,8292.0,8310.0,8283.0,8306.0,1231
2026-09-02 07:00:00+00:00,8305.5,8319.0,8282.0,8287.0,5366
2026-09-02 08:00:00+00:00,8287.5,8297.5,8265.5,8267.0,2702
2026-09-02 09:00:00+00:00,8267.5,8277.0,8258.5,8265.5,3437
2026-09-02 10:00:00+00:00,8265.5,8267.5,8250.0,8261.0,2943
2026-09-02 11:00:00+00:00,8260.5,8306.0,8256.0,8306.0,2887
2026-09-02 12:00:00+00:00,8306.0,8314.5,8298.0,8300.5,2991
2026-09-02 13:00:00+00:00,8300.5,8318.0,8292.0,8308.0,3236
2026-09-02 14:00:00+00:00,8307.5,8320.0,8295.0,8296.5,3433
2026-09-02 15:00:00+00:00,8297.0,8300.5,8282.5,8286.0,5070
2026-09-02 16:00:00+00:00,8286.5,8292.0,8284.5,8290.0,649
2026-09-02 17:00:00+00:00,8290.5,8305.5,8289.5,8303.5,776
2026-09-02 18:00:00+00:00,8303.5,8307.5,8287.0,8288.5,784
2026-09-02 19:00:00+00:00,8289.0,8298.0,8286.5,8296.5,795
2026-09-03 06:00:00+00:00,8307.0,8307.0,8272.5,8284.5,1242
2026-09-03 07:00:00+00:00,8285.0,8294.0,8258.0,8266.5,5071
2026-09-03 08:00:00+00:00,8266.5,8295.5,8266.5,8280.5,3858
2026-09-03 09:00:00+00:00,8280.5,8288.0,8258.0,8258.5,1900
